City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
314,Malanje,AO,-9.54,16.34,64.18,97,90,2.8,overcast clouds
315,Kapoeta,SS,4.77,33.59,78.44,56,100,11.99,overcast clouds
316,Imuris,MX,30.78,-110.87,76.53,20,16,10.83,few clouds
317,Dubrovka,RU,53.69,33.51,45.12,97,100,9.15,light rain
318,Quesnel,CA,53.0,-122.5,46.4,61,90,8.05,overcast clouds
319,Sorong,ID,-0.88,131.25,83.07,77,100,6.64,light rain
320,Port Macquarie,AU,-31.43,152.92,68.0,93,75,12.75,broken clouds
321,Svetlyy,RU,54.67,20.13,44.6,93,75,8.95,broken clouds
322,Yar-Sale,RU,66.83,70.83,25.56,97,73,16.42,broken clouds
323,Port Hardy,CA,50.7,-127.42,51.8,76,75,3.36,broken clouds
324,Pringsewu,ID,-5.36,104.97,81.46,69,55,7.09,heavy intensity rain
325,Muisne,EC,0.6,-80.03,75.51,85,92,8.66,overcast clouds
326,Anadyr,RU,64.75,177.48,15.8,85,75,6.71,light snow
327,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,42.8,52,0,4.47,clear sky
328,Kloulklubed,PW,7.04,134.26,86.0,74,75,6.93,broken clouds
329,Saint-Ambroise,CA,48.55,-71.33,37.4,86,100,5.82,overcast clouds
330,Dicabisagan,PH,17.08,122.42,80.28,84,100,1.95,moderate rain
331,Lebu,CL,-37.62,-73.65,52.48,96,55,8.1,broken clouds
332,Girona,ES,41.98,2.82,55.99,100,75,3.36,fog
333,Isangel,VU,-19.55,169.27,86.0,66,75,11.41,broken clouds
334,Nouadhibou,MR,20.93,-17.03,73.4,56,100,12.75,overcast clouds
335,Houma,US,29.6,-90.72,66.0,77,1,8.05,clear sky
336,Paita,PE,-5.09,-81.11,62.4,89,95,13.87,overcast clouds
337,Port Hedland,AU,-20.32,118.57,84.2,51,40,12.75,scattered clouds
338,Darhan,MN,49.49,105.92,20.57,78,0,5.06,clear sky
339,Catamarca,AR,-28.47,-65.79,59.0,51,100,1.01,overcast clouds
340,Teixoso,PT,40.31,-7.46,61.0,76,99,14.0,overcast clouds
341,Bandarbeyla,SO,9.49,50.81,76.26,77,0,17.98,clear sky
342,Lorengau,PG,-2.02,147.27,87.31,64,22,5.28,few clouds
343,Sibu,MY,2.3,111.82,80.6,83,40,4.7,scattered clouds
344,Seymchan,RU,62.88,152.43,15.26,94,97,2.26,overcast clouds
345,Podosinovets,RU,60.28,47.07,25.34,98,0,2.01,clear sky
346,Shuyskoye,RU,59.37,41.03,27.23,98,0,3.31,clear sky
347,Bengkulu,ID,-3.8,102.27,78.91,83,99,3.13,overcast clouds
348,Ampanihy,MG,-24.7,44.75,66.24,81,1,11.05,clear sky
349,Salym,RU,60.06,71.48,27.86,98,90,7.9,overcast clouds
350,Bekhtery,UA,46.25,32.29,51.3,78,94,13.78,overcast clouds
351,Teguldet,RU,57.31,88.17,34.57,96,100,11.27,light rain
352,Batagay-Alyta,RU,67.8,130.41,-9.44,84,9,1.97,clear sky
353,Te Anau,NZ,-45.42,167.72,58.96,41,27,0.72,scattered clouds
354,Leningradskiy,RU,69.38,178.42,16.74,83,85,4.52,overcast clouds
355,Paragominas,BR,-2.97,-47.48,79.07,63,5,3.13,clear sky
356,Chapais,CA,49.78,-74.85,32.0,100,90,3.36,overcast clouds
357,Bud,US,39.45,-86.18,36.0,55,1,6.93,clear sky
358,Cao Bang,VN,22.67,106.25,70.97,86,100,2.82,light rain
359,Acapulco,MX,16.86,-99.89,81.07,77,87,6.67,overcast clouds
360,Belaya Gora,RU,68.53,146.42,-5.4,90,99,8.14,overcast clouds
361,Astoria,US,46.19,-123.83,55.0,66,1,3.36,clear sky
